,SEVERITYCODE,X,Y,OBJECTID,INCKEY,COLDETKEY,REPORTNO,STATUS,ADDRTYPE,INTKEY,LOCATION,EXCEPTRSNCODE,EXCEPTRSNDESC,SEVERITYCODE.1,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INCDATE,INCDTTM,JUNCTIONTYPE,SDOT_COLCODE,SDOT_COLDESC,INATTENTIONIND,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTGRNT,SDOTCOLNUM,SPEEDING,ST_COLCODE,ST_COLDESC,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR
9930,1,-122.3125402,47.67651215,12490,25236,25236,1780022,Matched,Block,,NE 66TH ST BETWEEN 14TH AVE NE AND 15TH AVE NE,,,1,Property Damage Only Collision,Parked Car,3,0,0,3,2004/04/23 00:00:00+00,4/23/2004 9:20:00 AM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,4114016.0,,32,One parked--one moving,0,0,N
9931,1,-122.32079499999999,47.54741455,12492,26002,26002,1790432,Matched,Block,,S BAILEY ST BETWEEN CORSON AVE S AND CARLETON AVE S,,,1,Property Damage Only Collision,Other,1,0,0,1,2004/10/26 00:00:00+00,10/26/2004 2:07:00 AM,Mid-Block (but intersection related),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,0,Overcast,Dry,Dark - Street Lights On,,4300002.0,,50,Fixed object,0,0,N
9932,1,-122.38145619999999,47.56110747,12493,26984,26984,1774936,Matched,Intersection,31920.0,FAUNTLEROY WAY SW AND SW ALASKA ST,,,1,Property Damage Only Collision,Rear Ended,4,0,0,2,2004/03/25 00:00:00+00,3/25/2004 1:15:00 PM,At Intersection (intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,0,Raining,Wet,Daylight,,4085022.0,,13,From same direction - both going straight - both moving - rear-end,0,0,N
9933,1,-122.3246152,47.7086028,12494,25924,25924,1475622,Matched,Block,,NE NORTHGATE WAY BETWEEN 3RD AVE NE AND 5TH AVE NE,,,1,Property Damage Only Collision,Rear Ended,3,0,0,3,2004/08/11 00:00:00+00,8/11/2004 5:31:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,0,Clear,Dry,Daylight,,4224021.0,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
9934,1,-122.3066871,47.7121124,12495,25349,25349,1773690,Matched,Block,,NE 115TH ST BETWEEN 20TH W AVE NE AND 20TH E AVE NE,,,1,Property Damage Only Collision,Other,1,0,0,1,2004/09/19 00:00:00+00,9/19/2004 7:03:00 PM,Mid-Block (but intersection related),26,MOTOR VEHICLE STRUCK OBJECT IN ROAD,,0,Clear,Dry,Dark - Street Lights On,,4263008.0,,50,Fixed object,0,0,N
9935,2,-122.34453909999998,47.69201179,12496,26210,26210,1794821,Matched,Intersection,37365.0,AURORA AVE N AND N 87TH ST,,,2,Injury Collision,Left Turn,3,0,0,2,2004/12/23 00:00:00+00,12/23/2004 1:00:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,4358019.0,,28,From opposite direction - one left turn - one straight,0,0,N
9936,1,-122.3109197,47.600842799999995,12497,25556,25556,1212050,Matched,Block,,S WASHINGTON ST BETWEEN 16TH AVE S AND 17TH AVE S,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2004/07/17 00:00:00+00,7/17/2004 6:00:00 PM,Mid-Block (not related to intersection),0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,0,Unknown,Unknown,Unknown,,4199041.0,,32,One parked--one moving,0,0,N
9937,2,-122.29117409999999,47.71381352,12500,25914,25914,527088,Matched,Block,,35TH AVE NE BETWEEN 34TH AVE NE AND 33RD PL NE,,,2,Injury Collision,Other,0,0,0,1,2004/03/02 00:00:00+00,3/2/2004,Mid-Block (not related to intersection),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,0,Clear,Dry,Dark - Street Lights On,,4062032.0,Y,50,Fixed object,0,0,N
9938,1,-122.31142720000001,47.66126147,12501,24894,24894,1779737,Matched,Block,,NE 45TH ST BETWEEN 15TH AVE NE AND 16TH AVE NE,,,1,Property Damage Only Collision,Sideswipe,3,0,0,2,2004/05/17 00:00:00+00,5/17/2004 4:36:00 PM,Mid-Block (but intersection related),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,0,Overcast,Dry,Daylight,,4138025.0,,11,From same direction - both going straight - both moving - sideswipe,0,0,N
9939,1,-122.3445219,47.69056259,12502,26471,26471,1782067,Matched,Intersection,37367.0,AURORA AVE N AND N 85TH ST,,,1,Property Damage Only Collision,Left Turn,3,0,0,2,2004/09/18 00:00:00+00,9/18/2004 7:38:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Overcast,Dry,Dusk,,4262026.0,,29,From opposite direction - one left turn - one right turn,0,0,N
9940,1,-122.33610800000001,47.6062292,12504,25882,25882,1783176,Matched,Block,,2ND AVE BETWEEN SPRING ST AND SENECA ST,,,1,Property Damage Only Collision,Rear Ended,8,0,0,2,2004/06/13 00:00:00+00,6/13/2004 4:15:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,0,Clear,Dry,Daylight,,4165012.0,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
9941,2,-122.26332620000001,47.54956967,12505,25908,25908,1771932,Matched,Block,,S HAWTHORN RD BETWEEN WILSON AVE S AND OAKHURST RD S,,,2,Injury Collision,Other,1,0,0,1,2004/04/14 00:00:00+00,4/14/2004 12:22:00 AM,Mid-Block (not related to intersection),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,0,Overcast,Wet,Dark - Street Lights On,,4105004.0,,50,Fixed object,0,0,N
9942,1,-122.26881090000002,47.50614295,12506,25378,25378,1771405,Matched,Block,,S BANGOR ST BETWEEN 51ST AVE S AND 53RD AVE S,,,1,Property Damage Only Collision,Other,2,0,0,2,2004/02/05 00:00:00+00,2/5/2004,Mid-Block (but intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,4036031.0,,23,From same direction - all others,0,0,N
9943,1,-122.31429409999998,47.57162520000001,12507,26095,26095,1779218,Matched,Block,,S SPOKANE ST BETWEEN S COLUMBIAN WAY AND HINDS PL S,,,1,Property Damage Only Collision,Rear Ended,6,0,0,2,2004/02/14 00:00:00+00,2/14/2004 8:57:00 AM,Mid-Block (but intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Overcast,Wet,Daylight,,4045025.0,Y,14,From same direction - both going straight - one stopped - rear-end,0,0,N
9944,1,-122.28077659999998,47.53072864,12508,26278,26278,1476913,Matched,Block,,M L KING JR WR WAY S BETWEEN S KENYON ST AND S ELMGROVE ST,,,1,Property Damage Only Collision,Sideswipe,8,0,0,2,2004/03/21 00:00:00+00,3/21/2004 11:04:00 AM,Mid-Block (not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,0,Clear,Dry,Daylight,,4081013.0,,11,From same direction - both going straight - both moving - sideswipe,0,0,N
9945,1,-122.35516489999999,47.51736038,12510,25502,25502,1774847,Matched,Intersection,35058.0,DELRIDGE WAY SW AND SW ROXBURY ST,,,1,Property Damage Only Collision,Angles,4,0,0,2,2004/04/30 00:00:00+00,4/30/2004 7:35:00 AM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,4121028.0,,10,Entering at angle,0,0,N
9946,1,-122.3156445,47.67980152,12511,26205,26205,1780346,Matched,Block,,12TH AVE NE BETWEEN NE 70TH ST AND NE 71ST ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2004/03/30 00:00:00+00,3/30/2004 11:12:00 AM,Mid-Block (not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",Y,0,Clear,Dry,Daylight,,4090006.0,,32,One parked--one moving,0,0,N
9947,2,-122.37655290000001,47.54013137,12512,26577,26577,1789192,Matched,Block,,35TH AVE SW BETWEEN SW WILLOW ST AND SW MYRTLE ST,,,2,Injury Collision,Rear Ended,3,0,0,3,2004/03/13 00:00:00+00,3/13/2004 1:29:00 PM,Mid-Block (but intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,0,Clear,Dry,Daylight,,4073008.0,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
9948,1,-122.3766132,47.53445066,12514,26886,26886,1188115,Matched,Block,,35TH AVE SW BETWEEN SW AUSTIN ST AND SW IDA ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2004/01/09 00:00:00+00,1/9/2004,Mid-Block (not related to intersection),13,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE AT ANGLE",,0,Unknown,Unknown,Dark - Street Lights On,,4009002.0,,32,One parked--one moving,0,0,N
9949,2,-122.33771399999999,47.60407651,12515,25889,25889,1216973,Matched,Block,,MADISON ST BETWEEN ALASKAN E RDWY WAY AND WESTERN AVE,,,2,Injury Collision,Other,1,0,0,1,2004/09/07 00:00:00+00,9/7/2004,Mid-Block (not related to intersection),29,MOTOR VEHICLE OVERTURNED IN ROAD,,0,Clear,Dry,Daylight,,4251033.0,,51,Other object,0,0,N
9950,1,-122.3473847,47.61447544,12516,25690,25690,1777294,Matched,Block,,BATTERY ST BETWEEN 1ST AVE AND 2ND AVE,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2004/04/25 00:00:00+00,4/25/2004 2:00:00 AM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Dark - Street Lights Off,,4116037.0,,32,One parked--one moving,0,0,N
